Location_id,address_1,address_2,city,state,zip,county,location_source_value,latitude,longitude,address_type,state_abbr,flag,user_id,start_date,end_duration,end_date
18259,48 Calle Cementerio,,Jayuya,PR,00664,,"48 CALLE CEMENTERIO, JAYUYA, PR 00664",18.214094011713623,-66.58261587509762,Street Address,PR,SUCCESSFUL ADDRESS,1,2010-08-21,439 days 00:00:00,2011-11-03
2924,12 Cole Rd,,Raymond,ME,4071,,"12 COLE RD, RAYMOND, ME 4071",43.88752700018534,-70.41582099990747,Street Address,ME,SUCCESSFUL ADDRESS,1,2016-10-10,976 days 00:00:00,2019-06-13
19696,2001 Mount Holly Huntersville Road,,Charlotte,NC,28214,,"2001 Mount Holly - Huntersville Road, Charlotte, NC 28214",35.3152166417205,-80.96500285954062,Street Address,NC,SUCCESSFUL ADDRESS,1,2019-10-28,764 days 00:00:00,2021-11-30
13340,440 Main Street,,Lyons,Nebraska,68038,,"440 Main Street, Lyons, Nebraska 68038",41.9375430000001,-96.4692469999999,Street Address,NE,SUCCESSFUL ADDRESS,1,2023-10-10,779 days 00:00:00,2025-11-27
7394,191 Woodport Rd,STE 205,Sparta,NJ,7871,,"191 WOODPORT RD STE 205, SPARTA, NJ 7871",41.02464699984821,-74.63057599974215,Street Address,NJ,SUCCESSFUL ADDRESS,3,2006-10-30,614 days 00:00:00,2008-07-05
12909,234 Berenwood Drive,,Berea,KY,40403,,"234 BERENWOOD DRIVE, BEREA, KY 40403",37.56806754631749,-84.311897043524,Street Address,KY,SUCCESSFUL ADDRESS,3,2016-03-10,382 days 00:00:00,2017-03-27
12384,104 E Main St,,Chambers,Nebraska,68725,,"104 E Main St, Chambers, Nebraska 68725",42.257793,-98.3448059999999,Street Address,NE,SUCCESSFUL ADDRESS,3,2017-12-29,629 days 00:00:00,2019-09-19
4494,1709 Harper Road,,Beckley,WV,25801,,"1709 HARPER ROAD, BECKLEY, WV 25801",37.786457698674354,-81.2034127598274,Street Address,WV,SUCCESSFUL ADDRESS,3,2018-06-12,736 days 00:00:00,2020-06-17
12871,180 North 300 West,,Millville,UT,84326,,"180 NORTH 300 WEST, MILLVILLE, UT 84326",41.685564483775856,-111.82983335701906,Street Address,UT,SUCCESSFUL ADDRESS,4,2007-02-03,649 days 00:00:00,2008-11-13
2900,3435 Broadway,,Kansas City,MO,64111,,"3435 BROADWAY, KANSAS CITY, MO 64111",39.04835536232862,-94.58342062535026,Street Address,MO,SUCCESSFUL ADDRESS,4,2014-09-02,678 days 00:00:00,2016-07-11
